"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"143 ";;Dipl.-Fina;Dipl.-Fina;Dipl.-Finanzwirt (FH)    ;Dipl.-Finanzwirtin (FH)  ;Dipl.-Finanzwirt (FH)                                                                                                                                                                                                                                          ;Dipl.-Finanzwirtin (FH)                                                                                                                                                                                                                                        ;;;;;"0";0;35;;
;"144 ";;Dipl.-Hdl.;Dipl.-Hdl.;Dipl.-Hdl.               ;Dipl.-Hdl.               ;Dipl.-Hdl.                                                                                                                                                                                                                                                     ;Dipl.-Hdl.                                                                                                                                                                                                                                                     ;;;;;"0";0;36;;
;"145 ";;Geschäftsf;Geschäftsf;Geschäftsführer          ;Geschäftsführerin        ;Geschäftsführer                                                                                                                                                                                                                                                ;Geschäftsführerin                                                                                                                                                                                                                                              ;;;;;"0";0;37;;
;"146 ";;Dr. Dipl.-;Dr. Dipl.-;Dr. Dipl.-Chemiker       ;Dr. Dipl.-Chemikerin     ;Dr. Dipl.-Chemiker                                                                                                                                                                                                                                             ;Dr. Dipl.-Chemikerin                                                                                                                                                                                                                                           ;;;;;"0";0;38;;
;"148 ";;Dipl.-Desi;Dipl.-Desi;Dipl.-Designer (FH)      ;Dipl.-Designerin (FH)    ;Dipl.-Designer (FH)                                                                                                                                                                                                                                            ;Dipl.-Designerin (FH)                                                                                                                                                                                                                                          ;;;;;"0";0;39;;
;"149 ";;Dipl.-Medi;Dipl.-Medi;Dipl.-Medien-Ing. (FH)   ;Dipl.-Medien-Ing. (FH)   ;Dipl.-Medien-Ing. (FH)                                                                                                                                                                                                                                         ;Dipl.-Medien-Ing. (FH)                                                                                                                                                                                                                                         ;;;;;"0";0;40;;
;"150 ";;Dipl.-Kfm.;Dipl.-Kfm.;Dipl.-Kfm., Dipl.-Psych. ;Dipl.-Kfm., Dipl.-Psych. ;Dipl.-Kfm., Dipl.-Psych.                                                                                                                                                                                                                                       ;Dipl.-Kfm., Dipl.-Psych.                                                                                                                                                                                                                                       ;;;;;"0";0;41;;
;"151 ";;Oberstudie;Oberstudie;Oberstudienrat           ;Oberstudienrätin         ;Oberstudienrat                                                                                                                                                                                                                                                 ;Oberstudienrätin                                                                                                                                                                                                                                               ;;;;;"0";0;42;;
;"152 ";;Oberbaurat;Oberbaurat;Oberbaurat Dipl.-Ing.    ;Oberbaurat Dipl.-Ing.    ;Oberbaurat Dipl.-Ing.                                                                                                                                                                                                                                          ;Oberbaurat Dipl.-Ing.                                                                                                                                                                                                                                          ;;;;;"0";0;43;;
;"155 ";;Spark.-Bet;Spark.-Bet;Spark.-Betriebswirt      ;Spark.-Betriebswirtin    ;Spark.-Betriebswirt                                                                                                                                                                                                                                            ;Spark.-Betriebswirtin                                                                                                                                                                                                                                          ;;;;;"0";0;44;;
;"156 ";;VHS-Dozent;VHS-Dozent;VHS-Dozent               ;VHS-Dozentin             ;VHS-Dozent                                                                                                                                                                                                                                                     ;VHS-Dozentin                                                                                                                                                                                                                                                   ;;;;;"0";0;45;;
;"157 ";;Dr. Dipl.-;Dr. Dipl.-;Dr. Dipl.-Wirtsch.-Ing.  ;Dr. Dipl.-Wirtsch.-Ing.  ;Dr. Dipl.-Wirtsch.-Ing.                                                                                                                                                                                                                                        ;Dr. Dipl.-Wirtsch.-Ing.                                                                                                                                                                                                                                        ;;;;;"0";0;46;;
;"158 ";;Dr. Dipl.-;Dr. Dipl.-;Dr. Dipl.-Volkswirt      ;Dr. Dipl.-Volkswirt      ;Dr. Dipl.-Volkswirt                                                                                                                                                                                                                                            ;Dr. Dipl.-Volkswirt                                                                                                                                                                                                                                            ;;;;;"0";0;47;;
;"159 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing. (BA)          ;Dipl.-Ing. (BA)          ;Dipl.-Ing. (BA)                                                                                                                                                                                                                                                ;Dipl.-Ing. (BA)                                                                                                                                                                                                                                                ;;;;;"0";0;48;;
