"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"1050  ",,Uni Bremen,Universität Bremen       ,Universität Bremen                                                                                                                                                                                                                                             ,"1050",,,J,,,,,,
,"1060  ",,,Bucerius School Hamburg  ,Bucerius Law School Hamburg (Priv. H)                                                                                                                                                                                                                          ,"1060",,,,,,,,,
,"1081  ",,Uni Bochum,Universität Bochum       ,Universität Bochum                                                                                                                                                                                                                                             ,"1081",,,J,,,,,,
,"1089  ",,,U Bochum (Klinik)        ,U Bochum (Klinikum)                                                                                                                                                                                                                                            ,"1089",,,,,,,,,
,"1091  ",,Uni Bonn  ,Universität Bonn         ,Universität Bonn                                                                                                                                                                                                                                               ,"1091",,,J,,,,,,
,"1099  ",,,U Bonn (Klinik)          ,U Bonn (Klinikum)                                                                                                                                                                                                                                              ,"1099",,,,,,,,,
,"1101  ",,Uni Düssel,Universität Düsseldorf   ,Universität Düsseldorf                                                                                                                                                                                                                                         ,"1101",,,J,,,,,,
,"1109  ",,,U Düsseldorf (Klinik)    ,U Düsseldorf (Klinikum)                                                                                                                                                                                                                                        ,"1109",,,,,,,,,
,"1111  ",,Uni Köln  ,Universität Köln         ,Universität Köln                                                                                                                                                                                                                                               ,"1111",,,J,,,,,,
,"1119  ",,,U Köln (Klinik)          ,U Köln (Klinikum)                                                                                                                                                                                                                                              ,"1119",,,,,,,,,
,"1121  ",,Uni Münst ,Universität Münster      ,Universität Münster                                                                                                                                                                                                                                            ,"1121",,,J,,,,,,
,"1129  ",,,U Münster (Klinik)       ,U Münster (Klinikum)                                                                                                                                                                                                                                           ,"1129",,,,,,,,,
,"1130  ",,Uni Dortmd,Universität Dortmund     ,Technische Universität Dortmund                                                                                                                                                                                                                                ,"1130",,,J,,,,,,
,"1140  ",,Uni Bielef,Universität Bielefeld    ,Universität Bielefeld                                                                                                                                                                                                                                          ,"1140",,"2022-12-31",J,,,,,,
,"1141  ",,U BI oKl  ,U Bielefeld oKl          ,U Bielefeld (ohne Klinikum)                                                                                                                                                                                                                                    ,"1141",,,J,,,,,,
,"1149  ",,U BI Kl   ,U Bielefeld Klinik       ,U Bielefeld (Klinikum)                                                                                                                                                                                                                                         ,"1149",,,J,,,,,,
,"1150  ",,DSHS Köln ,Dt. Sporthochschule Köln ,Dt. Sporthochschule Köln                                                                                                                                                                                                                                       ,"1150",,,J,,,,,,
,"1161  ",,Uni Frankf,Universität Frankfurt a.M,Universität Frankfurt a.M                                                                                                                                                                                                                                      ,"1161",,,J,,,,,,
,"1169  ",,,U Frankfurt a.M. (Klinik),U Frankfurt a.M. (Klinikum)                                                                                                                                                                                                                                    ,"1169",,,,,,,,,
,"1170  ",,,U Gießen                 ,U Gießen                                                                                                                                                                                                                                                       ,"1170",,,,,,,,,
,"1171  ",,Uni Gießen,Universität Gießen       ,Universität Gießen                                                                                                                                                                                                                                             ,"1170",,"2015-12-31",J,,,,,,
,"1180  ",,,U Marburg                ,U Marburg                                                                                                                                                                                                                                                      ,"1180",,,,,,,,,
,"1181  ",,Uni Marbg ,Universität Marburg      ,Universität Marburg                                                                                                                                                                                                                                            ,"1180",,"2015-12-31",J,,,,,,
,"1190  ",,,Priv. wiss. Vallendar    ,"Priv. wiss. H für Unternehmensführung, Vallendar                                                                                                                                                                                                               ","1190",,,,,,,,,
,"1200  ",,Uni Trier ,Universität Trier        ,Universität Trier                                                                                                                                                                                                                                              ,"1200",,,J,,,,,,
,"1210  ",,Uni K'laut,Uni Kaiserslautern       ,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau in Kaiserslautern                                                                                                                                                                            ,"1210",,,J,,,,,,
,"1211  ",,"RPTU KL,LD","RPTU KL, Landau          ",Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau in Landau                                                                                                                                                                                    ,"1211",,,J,,,,,,
